Mes,Activos
Ene 2010,3976.23
F,3984.01
M,4000.89
A,4055.77
M,4118.16
J,4239.61
J,4172.39
A,4081.83
S,4064.57
O,4136.22
N,4142.16
D,4149.49
Ene 2011,4245.53
F,4320.67
M,4386.94
A,4448.87
M,4450.78
J,4531.94
J,4583.00
A,4523.30
S,4536.53
O,4573.38
N,4522.92
D,4546.48
Ene 2012,4731.55
F,4794.57
M,4915.33
A,4807.37
M,4764.34
J,4799.63
J,4780.15
A,4767.28
S,4692.76
O,4717.63
N,4746.46
D,4655.48
Ene 2013,4850.89
F,4867.36
M,4874.35
A,4909.51
M,4910.84
J,4975.43
J,5006.60
A,5038.07
S,5048.39
O,5157.32
N,5226.09
D,5193.49
Ene 2014,5313.72
F,5445.01
M,5593.18
A,5504.65
M,5567.69
J,5678.00
J,5705.58
A,5730.51
S,5705.91
O,5834.04
N,5810.70
D,5865.40
