Observación	Modelo	Mejor Ajuste	Parámetro
Obser_0_0	L_P	-17.7490357511	a
Obser_0_0	L_P	2.67232487321	b
Obser_0_0	L_P	3.90838141549	c
Obser_0_0	L_P	6.51224371822	d
Obser_0_0	L_P	3.0377654136	e
Obser_0_0	L_P	453.228685779	Likelihood
Obser_0_1	L_P	-12.7708690131	a
Obser_0_1	L_P	1.64228184726	b
Obser_0_1	L_P	3.32909467542	c
Obser_0_1	L_P	4.19301247195	d
Obser_0_1	L_P	2.90977292056	e
Obser_0_1	L_P	337.199217333	Likelihood
Obser_0_2	L_P	-6.00214049059	a
Obser_0_2	L_P	-0.509051256031	b
Obser_0_2	L_P	8.16989674618	c
Obser_0_2	L_P	0.68756261733	d
Obser_0_2	L_P	3.87837780324	e
Obser_0_2	L_P	301.98136799	Likelihood
Obser_0_3	L_P	0.179318707733	a
Obser_0_3	L_P	-2.25770683274	b
Obser_0_3	L_P	11.8332209447	c
Obser_0_3	L_P	0.85353251943	d
Obser_0_3	L_P	4.39234708316	e
Obser_0_3	L_P	199.329878898	Likelihood
Obser_0_4	L_G	2.35276121982	a
Obser_0_4	L_G	0.204567883714	b
Obser_0_4	L_G	-0.120232311556	c
Obser_0_4	L_G	3.74637909287	d
Obser_0_4	L_G	327.94581174	Likelihood
Obser_0_5	L_P	9.8925616551	a
Obser_0_5	L_P	-3.46749976292	b
Obser_0_5	L_P	10.5510769447	c
Obser_0_5	L_P	0.93081619972	d
Obser_0_5	L_P	4.26601002346	e
Obser_0_5	L_P	215.339056675	Likelihood
Obser_0_6	L_G	10.4909886478	a
Obser_0_6	L_G	-0.666704367595	b
Obser_0_6	L_G	-0.0868075837481	c
Obser_0_6	L_G	3.01477709121	d
Obser_0_6	L_G	211.678386714	Likelihood
Obser_0_7	L_P	13.0054983944	a
Obser_0_7	L_P	-1.88178459645	b
Obser_0_7	L_P	3.28896089091	c
Obser_0_7	L_P	2.30047487735	d
Obser_0_7	L_P	3.79704869821	e
Obser_0_7	L_P	312.860490197	Likelihood
Obser_0_8	L	-0.811358161124	a
Obser_0_8	L	13.5937690627	b
Obser_0_8	L	318.813986462	Likelihood
Obser_0_9	L_G	15.7108525145	a
