Observacion	Mejor Ajuste	Parametro
Obser_0_0	4.03991461243	a
Obser_0_0	-16.9135020432	b
Obser_0_0	680.366956571	Likelihood
Obser_0_1	2.71151283153	a
Obser_0_1	-11.6591958504	b
Obser_0_1	466.358264576	Likelihood
Obser_0_2	1.60344888324	a
Obser_0_2	-6.03157361822	b
Obser_0_2	374.758463011	Likelihood
Obser_0_3	1.04449917078	a
Obser_0_3	-3.1075545191	b
Obser_0_3	471.484617836	Likelihood
Obser_0_4	0.1867750524	a
Obser_0_4	2.04924701934	b
Obser_0_4	459.005518052	Likelihood
Obser_0_5	-0.391305798231	a
Obser_0_5	6.87314540998	b
Obser_0_5	427.100955042	Likelihood
Obser_0_6	-0.48715848089	a
Obser_0_6	9.46447957099	b
Obser_0_6	418.545283906	Likelihood
Obser_0_7	-0.599592565679	a
Obser_0_7	11.4306164187	b
Obser_0_7	418.330691746	Likelihood
Obser_0_8	-0.811358161124	a
Obser_0_8	13.5937690627	b
Obser_0_8	318.813986462	Likelihood
Obser_0_9	-1.01367532593	a
Obser_0_9	14.6897123625	b
Obser_0_9	354.333245281	Likelihood
Obser_1_0	3.76611637571	a
Obser_1_0	-16.4686817351	b
Obser_1_0	809.205408122	Likelihood
Obser_1_1	2.86655963087	a
Obser_1_1	-11.7405224915	b
Obser_1_1	820.643816373	Likelihood
Obser_1_2	2.01782881932	a
Obser_1_2	-6.50337497107	b
Obser_1_2	451.013660326	Likelihood
Obser_1_3	1.61412960931	a
Obser_1_3	-3.28166812943	b
Obser_1_3	582.324334013	Likelihood
Obser_1_4	0.760993805144	a
Obser_1_4	2.00486836169	b
Obser_1_4	469.207163838	Likelihood
Obser_1_5	-0.0488768516635	a
Obser_1_5	6.91865660189	b
Obser_1_5	426.465242708	Likelihood
Obser_1_6	-0.264679896904	a
Obser_1_6	9.44757470697	b
Obser_1_6	417.807327172	Likelihood
Obser_1_7	-0.393039354543	a
Obser_1_7	10.9001123559	b
Obser_1_7	535.724557247	Likelihood
Obser_1_8	-0.737366596641	a
Obser_1_8	13.213891912	b
Obser_1_8	447.282643536	Likelihood
Obser_1_9	-0.986543510975	a
Obser_1_9	14.8697121747	b
Obser_1_9	432.703653604	Likelihood
Obser_2_0	4.8224645466	a
Obser_2_0	-24.1423124548	b
Obser_2_0	1743.38384196	Likelihood
Obser_2_1	3.90830079426	a
Obser_2_1	-18.042721435	b
Obser_2_1	2444.88727133	Likelihood
Obser_2_2	2.82277503549	a
Obser_2_2	-10.9886953179	b
Obser_2_2	1289.14207795	Likelihood
Obser_2_3	2.16939558111	a
Obser_2_3	-5.29721441144	b
Obser_2_3	850.548355628	Likelihood
Obser_2_4	1.24474084562	a
Obser_2_4	1.49863911519	b
Obser_2_4	413.686184495	Likelihood
Obser_2_5	0.250114822082	a
Obser_2_5	7.08162890649	b
Obser_2_5	285.048851856	Likelihood
Obser_2_6	-0.189400006204	a
Obser_2_6	9.71498030427	b
Obser_2_6	342.343340265	Likelihood
Obser_2_7	-0.448441238899	a
Obser_2_7	11.3027009871	b
Obser_2_7	541.392526734	Likelihood
Obser_2_8	-0.806270980068	a
Obser_2_8	13.2209618293	b
Obser_2_8	528.537558681	Likelihood
Obser_2_9	-1.06737080132	a
Obser_2_9	14.7652960865	b
Obser_2_9	452.885011226	Likelihood
Obser_3_0	5.32111652157	a
Obser_3_0	-35.2807073545	b
Obser_3_0	2216.24135615	Likelihood
Obser_3_1	5.08919548032	a
Obser_3_1	-32.3513385234	b
Obser_3_1	5178.32505978	Likelihood
Obser_3_2	3.98071759975	a
Obser_3_2	-22.568431502	b
Obser_3_2	3976.28288168	Likelihood
Obser_3_3	3.01156319125	a
Obser_3_3	-12.0637125123	b
Obser_3_3	1853.48286655	Likelihood
Obser_3_4	2.03239336859	a
Obser_3_4	-2.81505998267	b
Obser_3_4	656.758267779	Likelihood
Obser_3_5	0.84281095449	a
Obser_3_5	4.47542088962	b
Obser_3_5	334.341745701	Likelihood
Obser_3_6	0.057375254848	a
Obser_3_6	8.31165618699	b
Obser_3_6	442.409813695	Likelihood
Obser_3_7	-0.398892707215	a
Obser_3_7	10.4052681916	b
Obser_3_7	729.909609543	Likelihood
Obser_3_8	-0.833413603122	a
Obser_3_8	12.5554410838	b
Obser_3_8	786.324956336	Likelihood
Obser_3_9	-1.15394932641	a
Obser_3_9	14.3702132746	b
Obser_3_9	609.649937167	Likelihood
Obser_4_0	0.369885166139	a
Obser_4_0	-18.7158296372	b
Obser_4_0	2049.42414236	Likelihood
Obser_4_1	2.82081591585	a
Obser_4_1	-36.4641837728	b
Obser_4_1	5186.70388021	Likelihood
Obser_4_2	3.58613292876	a
Obser_4_2	-35.798502846	b
Obser_4_2	4590.80733378	Likelihood
Obser_4_3	3.33251428551	a
Obser_4_3	-23.9179326223	b
Obser_4_3	2884.50822926	Likelihood
Obser_4_4	2.67731885273	a
Obser_4_4	-11.7249873816	b
Obser_4_4	1341.38662832	Likelihood
Obser_4_5	1.62322328901	a
Obser_4_5	-2.75363035106	b
Obser_4_5	598.493891939	Likelihood
Obser_4_6	0.636299177469	a
Obser_4_6	2.98071071678	b
Obser_4_6	789.641222911	Likelihood
Obser_4_7	-0.134184312903	a
Obser_4_7	7.13923605123	b
Obser_4_7	1271.94755146	Likelihood
Obser_4_8	-0.904035242739	a
Obser_4_8	11.2568049955	b
Obser_4_8	1536.7508921	Likelihood
Obser_4_9	-1.43680851623	a
Obser_4_9	14.3366122621	b
Obser_4_9	1475.77294068	Likelihood
Obser_5_0	-8.79302365492	a
Obser_5_0	37.9000919143	b
Obser_5_0	1964.78797848	Likelihood
Obser_5_1	-4.16703791769	a
Obser_5_1	-4.51152663893	b
Obser_5_1	2382.79075431	Likelihood
Obser_5_2	-0.103826548117	a
Obser_5_2	-30.8197874651	b
Obser_5_2	1849.56934266	Likelihood
Obser_5_3	2.01664094827	a
Obser_5_3	-32.8639447894	b
Obser_5_3	2139.04140661	Likelihood
Obser_5_4	2.16427308829	a
Obser_5_4	-21.9726719556	b
Obser_5_4	1980.97665052	Likelihood
Obser_5_5	1.51145050366	a
Obser_5_5	-12.5173429936	b
Obser_5_5	1113.72565889	Likelihood
Obser_5_6	1.04019677035	a
Obser_5_6	-7.03216512356	b
Obser_5_6	1171.07545807	Likelihood
Obser_5_7	0.306277393315	a
Obser_5_7	-0.112155948699	b
Obser_5_7	1955.60949185	Likelihood
Obser_5_8	-0.873566561249	a
Obser_5_8	8.44490422122	b
Obser_5_8	2467.61753559	Likelihood
Obser_5_9	-1.77910589999	a
Obser_5_9	14.4286780079	b
Obser_5_9	2662.39667633	Likelihood
Obser_6_0	-13.2357808903	a
Obser_6_0	91.4089449863	b
Obser_6_0	3405.18132301	Likelihood
Obser_6_1	-9.81280668458	a
Obser_6_1	48.3613398473	b
Obser_6_1	3939.36242961	Likelihood
Obser_6_2	-4.66663464838	a
Obser_6_2	2.37754688908	b
Obser_6_2	1477.32737558	Likelihood
Obser_6_3	-0.10156206823	a
Obser_6_3	-25.2729889909	b
Obser_6_3	1323.27304369	Likelihood
Obser_6_4	1.14351627665	a
Obser_6_4	-26.1402920373	b
Obser_6_4	2640.89085923	Likelihood
Obser_6_5	0.386712897586	a
Obser_6_5	-18.5704586887	b
Obser_6_5	3813.92001539	Likelihood
Obser_6_6	0.442001875865	a
Obser_6_6	-15.6236629216	b
Obser_6_6	3865.88135358	Likelihood
Obser_6_7	0.542926307372	a
Obser_6_7	-9.43153162041	b
Obser_6_7	2991.25318522	Likelihood
Obser_6_8	-0.554520112086	a
Obser_6_8	2.95822445213	b
Obser_6_8	2823.86903026	Likelihood
Obser_6_9	-1.70127224596	a
Obser_6_9	12.6550712874	b
Obser_6_9	2435.28480963	Likelihood
Obser_7_0	-10.1719950242	a
Obser_7_0	109.277091742	b
Obser_7_0	2206.08347132	Likelihood
Obser_7_1	-8.9976900463	a
Obser_7_1	81.2162401165	b
Obser_7_1	4644.23822886	Likelihood
Obser_7_2	-6.13941481231	a
Obser_7_2	43.4818644463	b
Obser_7_2	3660.39360977	Likelihood
Obser_7_3	-1.85837284046	a
Obser_7_3	4.11176504582	b
Obser_7_3	2153.46710662	Likelihood
Obser_7_4	0.440287641049	a
Obser_7_4	-14.6033868334	b
Obser_7_4	2496.60673686	Likelihood
Obser_7_5	-0.135382916336	a
Obser_7_5	-15.3795725512	b
Obser_7_5	5230.08591301	Likelihood
Obser_7_6	-0.385754934631	a
Obser_7_6	-16.1135855253	b
Obser_7_6	8348.13374278	Likelihood
Obser_7_7	0.356382231551	a
Obser_7_7	-14.5317856723	b
Obser_7_7	5222.78450096	Likelihood
Obser_7_8	-0.155803012065	a
Obser_7_8	-2.65962738796	b
Obser_7_8	2544.08520814	Likelihood
Obser_7_9	-1.41533170121	a
Obser_7_9	10.0021100793	b
Obser_7_9	1496.61660569	Likelihood
Obser_8_0	-5.63921187562	a
Obser_8_0	109.515808626	b
Obser_8_0	2103.97731733	Likelihood
Obser_8_1	-4.78440830613	a
Obser_8_1	87.8003295121	b
Obser_8_1	1090.63982836	Likelihood
Obser_8_2	-3.95124407331	a
Obser_8_2	66.0497536386	b
