Observacion	Mejor Ajuste	Parametro
Obser_0_0	-16.5228662056	a
Obser_0_0	3.95558034685	b
Obser_0_0	-0.0827462913525	c
Obser_0_0	1.07272274949	d
Obser_0_0	617.002964188	Likelihood
Obser_0_1	-11.3712373957	a
Obser_0_1	2.65031170586	b
Obser_0_1	-0.0976793578973	c
Obser_0_1	1.49624207653	d
Obser_0_1	419.546928207	Likelihood
Obser_1_0	-16.19956788	a
Obser_1_0	3.71373330854	b
Obser_1_0	-0.0814804897506	c
Obser_1_0	1.10196546763	d
Obser_1_0	760.621104639	Likelihood
Obser_1_1	-11.3775464397	a
Obser_1_1	2.7829702505	b
Obser_1_1	-0.0836266797496	c
Obser_1_1	1.07208303063	d
Obser_1_1	778.351558182	Likelihood
